model,split,mae,rmse,poisson_deviance,predicted_total_claims,actual_total_claims,total_error_pct
global_average,validation_2024,0.03774281943144968,0.14104645907879954,0.1535592340566174,5249.658377248242,5446.0,-3.605244633708382
global_average,test_2025,0.03709060465311961,0.1378955275061138,0.14946356740939745,5515.332493018752,5520.0,-0.0845562858921789
segment_average,validation_2024,0.03765715817359546,0.1409022260679044,0.15162020405754664,5246.712732138589,5446.0,-3.659332865615339
segment_average,test_2025,0.037022772525125376,0.13774352494028683,0.14739727804562286,5518.073146515146,5520.0,-0.034906766029974
poisson_no_year,validation_2024,0.03744198605812057,0.14046114905992188,0.1464214276395636,5250.25994609788,5446.0,-3.5941985659588727
poisson_no_year,test_2025,0.03682800258560964,0.13732677003354615,0.14254244397543292,5526.17367063058,5520.0,0.11184185924963952
poisson_with_year,validation_2024,0.03775463339904696,0.14045911773403563,0.14640829932741317,5344.005416809984,5446.0,-1.8728347996697758
poisson_with_year,test_2025,0.03730800284712441,0.1373275864167425,0.14254615574346008,5676.167835554405,5520.0,2.8291274556957458
hist_gradient_boosting,validation_2024,0.03741757504702373,0.14044141636250268,0.14637068766377656,5240.1554481092335,5446.0,-3.779738374784547
hist_gradient_boosting,test_2025,0.0368066453166336,0.13732762243750862,0.1426601539523617,5514.95779182093,5520.0,-0.09134435107011063
